ELECTORATE,NAME,SURNAME,PARTY
Albury,Justin,Clancy,Liberal Party
Auburn,Lynda,Voltz,Australian Labor Party
Badgerys Creek,Tanya,Davies,Liberal Party
Ballina,Tamara,Smith,The Greens
Balmain,Kobi,Shetty,The Greens
Bankstown,Jihad,Dib,Australian Labor Party
Barwon,Roy,Butler,Independent
Bathurst,Paul,Toole,The Nationals
Bega,Michael,Holland,Australian Labor Party
Blacktown,Stephen,Bali,Australian Labor Party
Blue Mountains,Trish,Doyle,Australian Labor Party
Cabramatta,Tri,Vo,Australian Labor Party
Camden,Sally,Quinnell,Australian Labor Party
Campbelltown,Greg,Warren,Australian Labor Party
Canterbury,Sophie,Cotsis,Australian Labor Party
Castle Hill,Mark,Hodges,Liberal Party
Cessnock,Clayton,Barr,Australian Labor Party
Charlestown,Jodie,Harrison,Australian Labor Party
Clarence,Richie,Williamson,The Nationals
Coffs Harbour,Gurmesh,Singh,The Nationals
Coogee,Marjorie,O'Neill,Australian Labor Party
Cootamundra,Steph,Cooke,The Nationals
Cronulla,Mark,Speakman,Liberal Party
Davidson,Matt,Cross,Liberal Party
Drummoyne,Stephanie,Di Pasqua,Liberal Party
Dubbo,Dugald,Saunders,The Nationals
East Hills,Kylie,Wilkinson,Australian Labor Party
Epping,Monica,Tudehope,Liberal Party
Fairfield,David,Saliba,Australian Labor Party
Gosford,Liesl,Tesch,Australian Labor Party
Goulburn,Wendy,Tuckerman,Liberal Party
Granville,Julia,Finn,Australian Labor Party
Hawkesbury,Robyn,Preston,Liberal Party
Heathcote,Maryanne,Stuart,Australian Labor Party
Heffron,Ron,Hoenig,Australian Labor Party
Holsworthy,Tina,Ayyad,Liberal Party
Hornsby,James,Wallace,Liberal Party
Keira,Ryan,Park,Australian Labor Party
Kellyville,Ray,Williams,Liberal Party
Kiama,Gareth,Ward,Independent
Kogarah,Chris,Minns,Australian Labor Party
Lake Macquarie,Greg,Piper,Independent
Lane Cove,Anthony,Roberts,Liberal Party
Leppington,Nathan,Hagarty,Australian Labor Party
Lismore,Janelle,Saffin,Australian Labor Party
Liverpool,Charishma,Kaliyanda,Australian Labor Party
Londonderry,Prue,Car,Australian Labor Party
Macquarie Fields,Anoulack,Chanthivong,Australian Labor Party
Maitland,Jenny,Aitchison,Australian Labor Party
Manly,James,Griffin,Liberal Party
Maroubra,Michael,Daley,Australian Labor Party
Miranda,Eleni,Petinos,Liberal Party
Monaro,Steve,Whan,Australian Labor Party
Mount Druitt,Edmond,Atalla,Australian Labor Party
Murray,Helen,Dalton,Independent
Myall Lakes,Tanya,Thompson,The Nationals
Newcastle,Tim,Crakanthorp,Australian Labor Party
Newtown,Jenny,Leong,The Greens
North Shore,Felicity,Wilson,Liberal Party
Northern Tablelands,Brendan,Moylan,The Nationals
Oatley,Mark,Coure,Liberal Party
Orange,Philip,Donato,Independent
Oxley,Michael,Kemp,The Nationals
Parramatta,Donna,Davis,Australian Labor Party
Penrith,Karen,McKeown,Australian Labor Party
Pittwater,Jacqui,Scruby,Independent
Port Stephens,Kate,Washington,Australian Labor Party
Prospect,Hugh,McDermott,Australian Labor Party
Riverstone,Warren,Kirby,Australian Labor Party
Rockdale,Stephen,Kamper,Australian Labor Party
Ryde,Jordan,Lane,Liberal Party
Shellharbour,Anna,Watson,Australian Labor Party
South Coast,Liza,Butler,Australian Labor Party
Strathfield,Jason,Li,Australian Labor Party
Summer Hill,Jo,Haylen,Australian Labor Party
Swansea,Yasmin,Catley,Australian Labor Party
Sydney,Alex,Greenwich,Independent
Tamworth,Kevin,Anderson,The Nationals
Terrigal,Adam,Crouch,Liberal Party
The Entrance,David,Mehan,Australian Labor Party
Tweed,Geoff,Provest,The Nationals
Upper Hunter,Dave,Layzell,The Nationals
Vaucluse,Kellie,Sloane,Liberal Party
Wagga Wagga,Joe,McGirr,Independent
Wahroonga,Alister,Henskens,Liberal Party
Wakehurst,Michael,Regan,Independent
Wallsend,Sonia,Hornery,Australian Labor Party
Willoughby,Tim,James,Liberal Party
Winston Hills,Mark,Taylor,Liberal Party
Wollondilly,Judy,Hannan,Independent
Wollongong,Paul,Scully,Australian Labor Party
Wyong,David,Harris,Australian Labor Party
